"","Keuwl","Accelerometer","Data","File","","42706.0","14-13-01"
"Number","Time(s)","X(g)","Y(g)","Z(g)","R(g)","Theta(deg)","Phi(deg)"
"250.0","14.821001","0.21477039","0.9235126","-0.13667206","0.9579567","98.2024","76.908104"
"251.0","14.861001","0.20988922","0.9264413","-0.13374338","0.9592884","98.01425","77.234886"
"252.0","14.861001","0.20500809","0.93620354","-0.1210524","0.9660016","97.19882","77.64844"
"253.0","14.904","0.19817449","0.9391323","-0.15229172","0.97182065","99.01585","78.08433"
"254.0","14.904","0.20110317","0.9469421","-0.16400647","0.98185533","99.61561","78.01016"
"255.0","14.9210005","0.19915071","0.9401085","-0.18353106","0.97833973","100.81243","78.0394"
"256.0","14.946001","0.19329333","0.93229866","-0.20403185","0.9737413","102.09504","78.28683"
"257.0","14.961","0.17767367","0.9225364","-0.21184167","0.9630775","102.70688","79.09873"
"258.0","14.987","0.18450728","0.9235126","-0.22355644","0.96793383","103.353745","78.70171"
"259.0","15.001","0.19036464","0.92448884","-0.23722363","0.9732386","104.10777","78.36466"
"260.0","15.034","0.18645974","0.9196077","-0.25089085","0.97128356","104.96972","78.53809"
"261.0","15.041","0.18353106","0.90789294","-0.25381953","0.96040493","105.3244","78.57164"
"262.0","15.076001","0.16693515","0.9059405","-0.23331872","0.95028055","104.21293","79.55938"
"263.0","15.081","0.1718163","0.9205839","-0.20598431","0.9588666","102.40501","79.42804"
"264.0","15.120001","0.16400647","0.916679","-0.19622204","0.95168364","101.89883","79.85632"
"265.0","15.120001","0.17669745","0.92156017","-0.21086545","0.96174806","102.66512","79.145996"
"266.0","15.1640005","0.1786499","0.91375035","-0.21086545","0.9546307","102.76113","78.937485"
"267.0","15.1640005","0.1718163","0.90398806","-0.21477039","0.94490296","103.13779","79.23845"
"268.0","15.181001","0.17376876","0.89715445","-0.21184167","0.93806106","103.05165","79.038185"
"269.0","15.208001","0.14350566","0.895202","-0.19915071","0.92824644","102.38884","80.89266"
"270.0","15.221001","0.16498269","0.9127741","-0.19329333","0.94749045","101.77129","79.754486"
"271.0","15.251","0.16400647","0.92937","-0.20598431","0.96594834","102.31262","79.99202"
"272.0","15.261001","0.16986385","0.9498709","-0.21477039","0.98855186","102.54801","79.86106"
"273.0","15.295001","0.16303024","0.94206095","-0.22648512","0.98252386","103.32731","80.18181"
"274.0","15.301001","0.16107778","0.9264413","-0.23039004","0.96815246","103.766685","80.13674"
"275.0","15.340001","0.1483868","0.8922733","-0.21379416","0.9294505","103.29837","80.55801"
"276.0","15.340001","0.15229172","0.9205839","-0.22746135","0.9604198","103.69984","80.60666"
"277.0","15.385001","0.15229172","0.9371798","-0.2596769","0.9843429","105.2961","80.77011"
"278.0","15.385001","0.15424417","0.9469421","-0.24991462","0.99143726","104.60022","80.748535"
"279.0","15.401001","0.13569583","0.9313224","-0.24600971","0.97277725","104.64884","81.710205"
"280.0","15.43","0.1415532","0.916679","-0.26162934","0.9637363","105.752","81.22175"
"281.0","15.442","0.13179092","0.90398806","-0.26748675","0.9518994","106.32008","81.705376"
"282.0","15.475","0.13960074","0.9030118","-0.25479576","0.94859874","105.58111","81.21195"
"283.0","15.481001","0.13374338","0.93229866","-0.2489384","0.97418606","104.805275","81.8363"
"284.0","15.524001","0.12593354","0.9371798","-0.25479576","0.9793294","105.08037","82.346725"
"285.0","15.524001","0.13667206","0.92546505","-0.255772","0.9698372","105.291306","81.59932"
"286.0","15.575001","0.14545812","0.9088692","-0.27139166","0.9596117","106.42823","80.907326"
"287.0","15.575001","0.13862452","0.89813066","-0.27041543","0.9481455","106.571075","81.22576"
"288.0","15.581","0.13276714","0.89715445","-0.27139166","0.9466608","106.659485","81.58207"
"289.0","15.624001","0.11617125","0.8815348","-0.25381953","0.9246749","105.93198","82.49265"
"290.0","15.624001","0.11617125","0.89813066","-0.26455808","0.9434646","106.28475","82.62984"
"291.0","15.643001","0.11617125","0.9010593","-0.24991462","0.9422637","105.38049","82.65353"
"292.0","15.674001","0.10836142","0.9117979","-0.2489384","0.95136106","105.168915","83.22255"
"293.0","15.681001","0.11519502","0.9283937","-0.22062775","0.9611771","103.26994","82.926895"
"294.0","15.722001","0.13081467","0.93229866","-0.22062775","0.96693844","103.18944","82.01274"
"295.0","15.722001","0.13569583","0.92448884","-0.22258021","0.96053886","103.39861","81.64979"
"296.0","15.740001","0.13276714","0.9303462","-0.22258021","0.9657707","103.324684","81.87831"
